"Site Crawled","http://restart/"
"Date","Tuesday, Aug. 18, 2020"
"Time","13:22:52 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","0","0.00%","0","Structured Data in URL"
"Contains Structured Data","0","0.00%","0","Structured Data in URL"
"Missing","0","0.00%","0","Structured Data in URL"
"Validation Errors","0","0.00%","0","Structured Data in URL"
"Validation Warnings","0","0.00%","0","Structured Data in URL"
"Parse Errors","0","0.00%","0","Structured Data in URL"
"Microdata URLs","0","0.00%","0","Structured Data in URL"
"JSON-LD URLs","0","0.00%","0","Structured Data in URL"
"RDFa URLs","0","0.00%","0","Structured Data in URL"
""
"Sitemaps"
"All","1","100.00%","1","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","1","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","1","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","1","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","1","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","1","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","1","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","1","Internal HTML/XML pages"
""
"PageSpeed"
"All","0","0.00%","0","PageSpeed Data"
"Eliminate Render-Blocking Resources","0","0.00%","0","PageSpeed Data"
"Properly Size Images","0","0.00%","0","PageSpeed Data"
"Defer Offscreen Images","0","0.00%","0","PageSpeed Data"
"Minify CSS","0","0.00%","0","PageSpeed Data"
"Minify JavaScript","0","0.00%","0","PageSpeed Data"
"Remove Unused CSS","0","0.00%","0","PageSpeed Data"
"Remove Unused JavaScript","0","0.00%","0","PageSpeed Data"
"Efficiently Encode Images","0","0.00%","0","PageSpeed Data"
"Serve Images in Next-Gen Formats","0","0.00%","0","PageSpeed Data"
"Enable Text Compression","0","0.00%","0","PageSpeed Data"
"Preconnect to Required Origins","0","0.00%","0","PageSpeed Data"
"Reduce Server Response Times (TTFB)","0","0.00%","0","PageSpeed Data"
"Avoid Multiple Page Redirects","0","0.00%","0","PageSpeed Data"
"Preload Key Requests","0","0.00%","0","PageSpeed Data"
"Use Video Formats for Animated Content","0","0.00%","0","PageSpeed Data"
"Avoid Excessive DOM Size","0","0.00%","0","PageSpeed Data"
"Reduce JavaScript Execution Time","0","0.00%","0","PageSpeed Data"
"Serve Static Assets with an Efficient Cache Policy","0","0.00%","0","PageSpeed Data"
"Minimize Main-Thread Work","0","0.00%","0","PageSpeed Data"
"Ensure Text Remains Visible During Webfont Load","0","0.00%","0","PageSpeed Data"
"Request Errors","0","0.00%","0","PageSpeed Data"
""
"Custom Search"
"All","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1","100.00%","1","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1","100.00%","1","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","1","Internal URLs with associated Google Search Console data"
