"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.drupal.com/sites/default/files/styles/mega_menu_product_icon/public/web-content-management-icon.png?itok=V_NhA1iG","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","614","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.207","Thu, 01 Jan 1970 00:00:00 GMT","","","https://www.drupal.com/sites/default/files/styles/mega_menu_product_icon/public/web-content-management-icon.png?itok=V_NhA1iG"
"https://www.drupal.com/sites/default/files/inline-images/throttle.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","55091","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.219","Thu, 01 Jan 1970 00:00:00 GMT","","","https://www.drupal.com/sites/default/files/inline-images/throttle.png"
"https://www.drupal.com/sites/default/files/styles/mega_menu_product_icon/public/commerce-icon.png?itok=zGSIjE93","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1536","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.142","Thu, 10 Sep 2015 19:08:48 GMT","","","https://www.drupal.com/sites/default/files/styles/mega_menu_product_icon/public/commerce-icon.png?itok=zGSIjE93"
"https://www.drupal.com/sites/default/files/advertise_here.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3747","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.150","Wed, 24 Jun 2015 18:42:13 GMT","","","https://www.drupal.com/sites/default/files/advertise_here.jpg"
"https://www.drupal.com/themes/drupalcom/logo.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","2027","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.148","Sat, 28 Sep 2019 08:32:40 GMT","","","https://www.drupal.com/themes/drupalcom/logo.png"
"https://www.drupal.com/sites/default/files/inline-images/started1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","11193","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.148","Thu, 01 Jan 1970 00:00:00 GMT","","","https://www.drupal.com/sites/default/files/inline-images/started1.png"
"https://www.drupal.com/sites/default/files/DrupalCon-Minneapolis-Logo-480x320.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","56520","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.150","Mon, 06 Jan 2020 21:01:26 GMT","","","https://www.drupal.com/sites/default/files/DrupalCon-Minneapolis-Logo-480x320.png"
"https://www.drupal.com/contact/advertising","text/html; charset=UTF-8","200","OK","Indexable","","Advertising Inquiries | Drupal.com","34","297","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Advertising Inquiries","21","","0","Mega Menu","9","","0","","","","","","","","","34832","345","7.280","2","91","71","59","100.000","22","18","","","","","","","13b504116650a2d39567c9cc19dce694","0.115","Sun, 19 Jul 2020 11:43:46 GMT","","","https://www.drupal.com/contact/advertising"
"https://www.drupal.com/sites/default/files/406x271_drupalcom_0.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","38744","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.175","Thu, 25 Jun 2015 15:11:12 GMT","","","https://www.drupal.com/sites/default/files/406x271_drupalcom_0.jpg"
"https://www.drupal.com/sites/default/files/jeff-geheb-vml.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","31503","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.239","Wed, 24 Jun 2015 18:42:14 GMT","","","https://www.drupal.com/sites/default/files/jeff-geheb-vml.jpg"
