"Site Crawled","http://www.drupal.com/"
"Date","Monday, Aug 24, 2020"
"Time","12:04:03 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Index","0","0.00%","430","Internal URLs with 2xx response"
"Noindex","0","0.00%","430","Internal URLs with 2xx response"
"Follow","0","0.00%","430","Internal URLs with 2xx response"
"Nofollow","0","0.00%","430","Internal URLs with 2xx response"
"None","0","0.00%","430","Internal URLs with 2xx response"
"NoArchive","0","0.00%","430","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","430","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","430","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","430","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","430","Internal URLs with 2xx response"
"NoODP","0","0.00%","430","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","430","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","430","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","430","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","430","Internal URLs with 2xx response"
"Refresh","0","0.00%","59","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","59","100.00%","59","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","59","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","59","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","59","Internal pages with 2xx response"
"Missing Confirmation Links","0","0.00%","59","Internal pages with 2xx response"
"Inconsistent Language & Region Confirmation Links","0","0.00%","59","Internal pages with 2xx response"
"Non-Canonical Confirmation Links","0","0.00%","59","Internal pages with 2xx response"
"Noindex Confirmation Links","0","0.00%","59","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","59","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","59","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","59","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","59","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","59","Internal pages with 2xx response"
"Missing","0","0.00%","59","Internal pages with 2xx response"
""
"AJAX"
"All","0","0.00%","0","Internal pages crawled in escaped fragment form"
"With Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
"Without Hash Fragment","0","0.00%","0","Internal pages crawled in escaped fragment form"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","0","Internal AMP URLs"
"Non-Confirming Canonical","0","0.00%","0","Internal AMP URLs"
"Missing Non-AMP Canonical","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","59","100.00%","59","Structured Data in URL"
"Contains Structured Data","0","0.00%","59","Structured Data in URL"
"Missing","59","100.00%","59","Structured Data in URL"
"Validation Errors","0","0.00%","59","Structured Data in URL"
"Validation Warnings","0","0.00%","59","Structured Data in URL"
"Parse Errors","0","0.00%","59","Structured Data in URL"
"Microdata URLs","0","0.00%","59","Structured Data in URL"
"JSON-LD URLs","0","0.00%","59","Structured Data in URL"
"RDFa URLs","0","0.00%","59","Structured Data in URL"
""
"Sitemaps"
"All","110","100.00%","110","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","110","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","110","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","110","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","110","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","110","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","110","Internal HTML/XML pages"
